"domain","ficat","subjid","fitest","fiorres","fiorresu","fidtc","fiperiod","fistresn","afidtc","chg"
"MO","BALANCE SHEET","MSFT","OtherShortTermInvestments",116032000000,"USD","2021-06-30 00:00:00","12M",0.690305078292323,"",""
"MO","BALANCE SHEET","MSFT","OtherShortTermInvestments",90818000000,"USD","2022-06-30 00:00:00","12M",0.4580521511070762,"2022-06-30_2021-06-30",-0.21730212355212356
"MO","BALANCE SHEET","MSFT","OtherShortTermInvestments",76552000000,"USD","2023-06-30 00:00:00","12M",0.361239176084751,"2023-06-30_2022-06-30",-0.1570833975643595
"MO","BALANCE SHEET","MSFT","OtherShortTermInvestments",57216000000,"USD","2024-06-30 00:00:00","12M",0.23341846101125155,"2024-06-30_2023-06-30",-0.25258647716584803
"MO","BALANCE SHEET","DIOD","Payables",195080000,"USD","2020-12-31 00:00:00","12M",0.15870291202108663,"",""
"MO","BALANCE SHEET","DIOD","Payables",253209000,"USD","2021-12-31 00:00:00","12M",0.14026940518357908,"2021-12-31_2020-12-31",0.29797518966577813
"MO","BALANCE SHEET","DIOD","Payables",183158000,"USD","2022-12-31 00:00:00","12M",0.09155244978956102,"2022-12-31_2021-12-31",-0.2766528835862864
"MO","BALANCE SHEET","DIOD","Payables",171938000,"USD","2023-12-31 00:00:00","12M",0.10346871560455644,"2023-12-31_2022-12-31",-0.06125858548357156
"MO","BALANCE SHEET","MSFT","Payables",17337000000,"USD","2021-06-30 00:00:00","12M",0.10314240159916234,"",""
"MO","BALANCE SHEET","MSFT","Payables",23067000000,"USD","2022-06-30 00:00:00","12M",0.11634135270086246,"2022-06-30_2021-06-30",0.33050700813289496
"MO","BALANCE SHEET","MSFT","Payables",22247000000,"USD","2023-06-30 00:00:00","12M",0.10498077059198263,"2023-06-30_2022-06-30",-0.035548619239606366
"MO","BALANCE SHEET","MSFT","Payables",27013000000,"USD","2024-06-30 00:00:00","12M",0.11020226662641461,"2024-06-30_2023-06-30",0.21423113228749943
"MO","BALANCE SHEET","DIOD","PayablesAndAccruedExpenses",287249000,"USD","2020-12-31 00:00:00","12M",0.23368491272885542,"",""
"MO","BALANCE SHEET","DIOD","PayablesAndAccruedExpenses",347536000,"USD","2021-12-31 00:00:00","12M",0.19252344110944059,"2021-12-31_2020-12-31",0.20987714491608325
"MO","BALANCE SHEET","DIOD","PayablesAndAccruedExpenses",301438000,"USD","2022-12-31 00:00:00","12M",0.1506753041617931,"2022-12-31_2021-12-31",-0.13264237373969892
"MO","BALANCE SHEET","DIOD","PayablesAndAccruedExpenses",275365000,"USD","2023-12-31 00:00:00","12M",0.16570893503733136,"2023-12-31_2022-12-31",-0.08649539872212528
"MO","BALANCE SHEET","MSFT","PayablesAndAccruedExpenses",17337000000,"USD","2021-06-30 00:00:00","12M",0.10314240159916234,"",""
"MO","BALANCE SHEET","MSFT","PayablesAndAccruedExpenses",23067000000,"USD","2022-06-30 00:00:00","12M",0.11634135270086246,"2022-06-30_2021-06-30",0.33050700813289496
"MO","BALANCE SHEET","MSFT","PayablesAndAccruedExpenses",22247000000,"USD","2023-06-30 00:00:00","12M",0.10498077059198263,"2023-06-30_2022-06-30",-0.035548619239606366
"MO","BALANCE SHEET","MSFT","PayablesAndAccruedExpenses",27013000000,"USD","2024-06-30 00:00:00","12M",0.11020226662641461,"2024-06-30_2023-06-30",0.21423113228749943
"MO","BALANCE SHEET","DIOD","PensionandOtherPostRetirementBenefitPlansCurrent",48748000,"USD","2020-12-31 00:00:00","12M",0.039657830403957,"",""
"MO","BALANCE SHEET","DIOD","PensionandOtherPostRetirementBenefitPlansCurrent",73124000,"USD","2021-12-31 00:00:00","12M",0.040508275711542786,"2021-12-31_2020-12-31",0.5000410273241979
"MO","BALANCE SHEET","DIOD","PensionandOtherPostRetirementBenefitPlansCurrent",82349000,"USD","2022-12-31 00:00:00","12M",0.041162562856771535,"2022-12-31_2021-12-31",0.1261555713582408
"MO","BALANCE SHEET","DIOD","PensionandOtherPostRetirementBenefitPlansCurrent",64000000,"USD","2023-12-31 00:00:00","12M",0.03851387010836239,"2023-12-31_2022-12-31",-0.22281994924042794
"MO","BALANCE SHEET","MSFT","PensionandOtherPostRetirementBenefitPlansCurrent",10057000000,"USD","2021-06-30 00:00:00","12M",0.05983175479510733,"",""
"MO","BALANCE SHEET","MSFT","PensionandOtherPostRetirementBenefitPlansCurrent",10661000000,"USD","2022-06-30 00:00:00","12M",0.05377011146416503,"2022-06-30_2021-06-30",0.060057671273739684
